market_id,inspection_date,inspection_score,electrical_wiring_risk,fuel_storage_risk,exit_access_score,hydrant_access_score
MK001,2025-01-15,71.8,33.3,62.4,87.5,92.0
MK001,2025-03-01,55.1,6.9,69.8,96.1,91.4
MK001,2025-04-15,64.9,14.3,78.9,96.7,78.7
MK001,2025-05-30,57.4,5.3,70.8,92.5,82.4
MK001,2025-07-14,52.6,20.1,80.8,95.0,83.1
MK001,2025-08-28,74.2,16.3,66.9,96.0,80.4
MK001,2025-10-12,62.0,28.9,75.8,89.5,74.3
MK001,2025-11-26,90.0,18.4,76.5,83.6,86.6
MK002,2025-01-15,93.3,38.1,50.6,37.3,27.1
MK002,2025-03-01,87.4,46.2,52.4,36.6,35.6
MK002,2025-04-15,72.2,45.1,55.8,37.5,24.6
MK002,2025-05-30,72.9,49.6,68.2,26.5,32.0
MK002,2025-07-14,65.7,46.5,46.0,33.7,34.6
MK002,2025-08-28,94.0,60.9,63.8,38.3,37.3
MK002,2025-10-12,81.3,53.6,52.0,36.1,22.6
MK002,2025-11-26,85.3,37.6,60.7,34.6,33.8
MK003,2025-01-15,54.6,39.7,14.7,45.0,33.2
MK003,2025-03-01,96.0,21.0,21.0,58.2,29.4
MK003,2025-04-15,95.4,25.4,0.0,50.4,35.5
MK003,2025-05-30,77.1,30.0,0.0,56.2,34.0
MK003,2025-07-14,88.4,38.0,0.0,50.9,37.1
MK003,2025-08-28,55.6,36.9,11.8,59.5,30.2
MK003,2025-10-12,82.2,33.6,10.8,55.8,35.2
MK003,2025-11-26,67.5,23.9,7.7,56.7,39.6
MK004,2025-01-15,71.0,23.7,59.2,23.6,34.1
MK004,2025-03-01,87.5,31.5,47.4,36.1,44.1
MK004,2025-04-15,95.7,29.1,65.9,26.9,27.0
MK004,2025-05-30,78.2,21.0,48.2,36.0,29.4
MK004,2025-07-14,64.2,11.9,40.9,30.7,42.1
MK004,2025-08-28,87.5,13.4,28.8,28.4,36.2
MK004,2025-10-12,90.2,30.3,48.4,32.7,40.4
MK004,2025-11-26,51.4,19.1,45.9,29.3,43.9
MK005,2025-01-15,93.7,46.3,63.6,39.8,37.5
MK005,2025-03-01,79.1,31.7,53.8,26.5,28.4
MK005,2025-04-15,88.4,39.8,67.3,47.0,40.5
MK005,2025-05-30,51.9,35.9,76.5,41.1,27.5
MK005,2025-07-14,57.5,30.3,58.6,38.4,37.3
MK005,2025-08-28,97.0,31.0,68.8,34.3,35.3
MK005,2025-10-12,92.4,27.5,73.1,36.9,29.3
MK005,2025-11-26,97.0,36.9,69.1,39.4,34.5
MK006,2025-01-15,57.0,59.0,14.7,53.5,37.0
MK006,2025-03-01,81.2,57.3,20.5,61.6,32.7
MK006,2025-04-15,72.8,65.0,18.0,63.4,37.1
MK006,2025-05-30,70.5,51.1,17.2,64.3,25.6
MK006,2025-07-14,60.4,31.8,8.5,59.6,28.8
MK006,2025-08-28,72.8,57.2,9.7,64.5,28.2
MK006,2025-10-12,81.1,49.9,22.4,60.4,37.0
MK006,2025-11-26,70.7,48.5,38.2,63.7,39.2
MK007,2025-01-15,92.5,39.3,43.4,19.4,33.4
MK007,2025-03-01,65.1,27.9,49.2,26.9,40.3
MK007,2025-04-15,63.5,38.3,41.4,26.0,27.1
MK007,2025-05-30,50.7,18.8,31.9,28.6,43.5
MK007,2025-07-14,78.8,22.7,20.2,17.1,52.6
MK007,2025-08-28,87.1,30.2,47.6,11.0,36.3
MK007,2025-10-12,80.8,34.0,50.2,22.5,42.1
MK007,2025-11-26,58.0,41.9,56.9,14.6,32.8
MK008,2025-01-15,97.5,64.7,86.0,58.7,80.5
MK008,2025-03-01,86.3,68.3,87.3,59.2,66.2
MK008,2025-04-15,93.5,69.8,62.3,65.2,68.6
MK008,2025-05-30,78.1,47.0,68.5,51.3,66.8
MK008,2025-07-14,80.6,64.8,72.8,60.4,73.0
MK008,2025-08-28,67.6,71.9,80.1,63.7,75.1
MK008,2025-10-12,86.9,82.5,74.1,59.6,67.3
MK008,2025-11-26,90.8,56.2,67.7,61.0,73.8
MK009,2025-01-15,80.3,16.1,25.8,61.5,73.2
MK009,2025-03-01,94.5,26.6,20.1,48.4,73.8
MK009,2025-04-15,63.3,15.0,20.1,48.4,82.2
MK009,2025-05-30,72.9,20.2,21.5,42.6,67.3
MK009,2025-07-14,87.5,13.6,24.3,69.1,67.1
MK009,2025-08-28,76.5,24.1,31.5,49.8,75.7
MK009,2025-10-12,85.2,9.0,8.4,54.6,71.1
MK009,2025-11-26,97.3,24.1,4.4,60.2,70.7
MK010,2025-01-15,54.1,13.4,80.8,96.2,79.1
MK010,2025-03-01,51.8,4.9,90.2,86.8,75.9
MK010,2025-04-15,84.2,22.0,79.4,85.3,78.8
MK010,2025-05-30,52.4,13.5,97.5,90.4,74.7
MK010,2025-07-14,74.7,13.4,89.7,89.8,72.0
MK010,2025-08-28,82.2,10.1,66.6,100.0,89.8
MK010,2025-10-12,64.3,2.9,83.4,91.3,73.4
MK010,2025-11-26,59.0,23.0,90.1,84.0,78.7
MK011,2025-01-15,97.9,88.8,20.3,52.7,48.6
MK011,2025-03-01,97.9,77.2,9.2,54.6,42.6
MK011,2025-04-15,73.9,86.0,36.3,47.0,48.4
MK011,2025-05-30,50.8,80.4,24.4,60.9,43.0
MK011,2025-07-14,96.0,87.3,15.8,51.5,44.4
MK011,2025-08-28,61.3,74.5,26.9,50.5,29.5
MK011,2025-10-12,78.4,89.6,17.3,45.7,49.9
MK011,2025-11-26,57.5,100.0,26.4,55.9,43.9
MK012,2025-01-15,71.0,68.2,72.8,60.5,25.7
MK012,2025-03-01,58.9,69.5,74.8,60.8,25.8
MK012,2025-04-15,74.6,61.2,70.4,50.1,23.3
MK012,2025-05-30,52.0,44.6,55.1,58.1,27.1
MK012,2025-07-14,65.0,61.2,54.6,63.3,34.6
MK012,2025-08-28,83.5,55.9,67.3,62.3,32.2
MK012,2025-10-12,50.1,68.8,54.5,63.5,27.0
MK012,2025-11-26,73.5,50.7,68.3,61.5,22.2
MK013,2025-01-15,62.5,32.0,38.5,81.2,42.5
MK013,2025-03-01,61.0,25.3,62.8,83.4,41.3
MK013,2025-04-15,84.2,23.5,61.1,89.1,49.7
MK013,2025-05-30,50.4,29.2,63.2,80.5,34.5
MK013,2025-07-14,61.6,32.5,48.5,79.0,48.6
MK013,2025-08-28,91.0,37.4,60.8,88.0,42.6
MK013,2025-10-12,62.2,20.6,48.6,100.0,58.7
MK013,2025-11-26,67.4,15.6,63.5,94.0,50.7
MK014,2025-01-15,60.4,55.9,94.4,60.1,66.9
MK014,2025-03-01,66.6,51.5,84.1,48.6,75.0
MK014,2025-04-15,85.5,61.7,90.5,64.4,65.0
MK014,2025-05-30,56.9,42.1,91.7,56.7,57.1
MK014,2025-07-14,50.2,50.2,100.0,61.7,65.0
MK014,2025-08-28,93.1,51.2,86.9,49.8,64.0
MK014,2025-10-12,52.4,40.8,92.6,58.6,54.2
MK014,2025-11-26,50.9,58.8,97.0,62.5,65.1
MK015,2025-01-15,79.3,78.2,57.1,31.2,37.8
MK015,2025-03-01,77.2,85.8,44.3,27.0,31.4
MK015,2025-04-15,50.6,82.3,56.3,25.9,26.3
MK015,2025-05-30,92.7,83.7,56.3,30.5,23.3
MK015,2025-07-14,58.6,98.4,45.0,16.2,18.9
MK015,2025-08-28,92.2,87.1,53.4,36.2,14.1
MK015,2025-10-12,87.6,99.4,45.3,26.6,25.6
MK015,2025-11-26,88.3,84.3,65.7,39.9,28.1
MK016,2025-01-15,97.0,88.9,22.3,35.4,64.4
MK016,2025-03-01,65.3,100.0,15.1,31.8,69.4
MK016,2025-04-15,94.9,84.7,15.6,36.2,65.3
MK016,2025-05-30,56.3,91.3,11.7,24.4,67.6
MK016,2025-07-14,61.7,77.1,7.8,36.5,59.4
MK016,2025-08-28,59.7,77.9,5.0,32.5,63.3
MK016,2025-10-12,52.2,80.5,14.1,36.4,52.2
MK016,2025-11-26,55.3,88.5,6.5,35.4,63.4
MK017,2025-01-15,93.3,38.1,10.8,84.0,18.8
MK017,2025-03-01,56.6,40.5,16.2,76.0,15.2
MK017,2025-04-15,79.6,26.0,16.4,91.2,23.5
MK017,2025-05-30,90.9,25.1,12.8,93.9,16.2
MK017,2025-07-14,69.4,31.3,18.5,100.0,21.7
MK017,2025-08-28,55.8,28.7,9.5,91.4,18.9
MK017,2025-10-12,58.6,33.7,24.1,87.3,31.3
MK017,2025-11-26,90.9,42.0,23.9,99.2,14.1
MK018,2025-01-15,57.7,46.8,74.7,39.2,70.6
MK018,2025-03-01,73.5,52.3,77.0,41.2,72.1
MK018,2025-04-15,56.0,57.3,83.0,52.5,73.5
MK018,2025-05-30,76.6,44.5,73.0,48.2,76.8
MK018,2025-07-14,94.0,60.8,77.6,49.8,73.3
MK018,2025-08-28,75.5,56.4,50.3,44.9,49.7
MK018,2025-10-12,72.5,57.3,77.5,35.6,67.3
MK018,2025-11-26,66.4,49.8,91.6,42.6,74.0
MK019,2025-01-15,60.2,82.1,13.0,29.3,66.8
MK019,2025-03-01,97.7,79.1,15.1,35.5,67.2
MK019,2025-04-15,57.3,80.3,22.8,33.7,61.0
MK019,2025-05-30,84.9,89.9,17.7,21.5,69.7
MK019,2025-07-14,95.6,68.9,22.8,34.4,69.2
