market_id,market_name,zone,latitude,longitude,stall_count,stall_density_per_100m,electrical_wiring_risk,exit_access_score,fuel_storage_risk,hydrant_access_score,crowding_index,inspection_overdue_days,recent_incident_count_90d,fire_extinguisher_coverage_pct
MK001,Central Bazaar Market 01,Central Bazaar,18.532874725826716,73.85266541277025,132,78.7,16.3,94.1,72.7,81.0,25.6,180,5,63.5
MK002,Riverside Market Market 02,Riverside Market,18.551211798661832,73.87726381440967,135,89.6,47.0,35.7,54.4,26.8,83.7,58,3,86.0
MK003,Old Town Market 03,Old Town,18.482543116175584,73.91648376292738,134,85.7,25.1,54.4,8.9,33.6,71.7,187,5,98.1
MK004,Station Road Market 04,Station Road,18.47909904297658,73.84445516472418,191,58.9,24.7,28.1,47.3,39.0,70.6,197,2,90.3
MK005,Industrial Edge Market 05,Industrial Edge,18.52403181224027,73.83748399696584,195,88.0,42.1,40.5,65.7,32.5,31.6,174,4,87.6
MK006,Residential Core Market 06,Residential Core,18.519782102791044,73.88461984543515,51,85.9,48.4,62.4,17.4,30.6,70.5,137,2,74.8
MK007,Central Bazaar Market 07,Central Bazaar,18.531799862889923,73.87616619840007,157,66.7,34.7,20.4,43.9,38.1,48.9,116,5,55.6
MK008,Riverside Market Market 08,Riverside Market,18.446996329002687,73.83376606704265,212,43.5,66.2,61.4,74.8,71.8,48.7,87,4,51.7
MK009,Old Town Market 09,Old Town,18.442725448776063,73.81080574329307,196,58.2,22.2,57.1,18.6,74.2,52.0,151,0,59.5
MK010,Station Road Market 10,Station Road,18.515633911174266,73.8434175132664,122,25.6,18.4,93.0,85.9,74.5,37.1,160,5,87.2
MK011,Industrial Edge Market 11,Industrial Edge,18.52602682269908,73.85392338025726,190,26.4,87.4,53.6,23.0,44.9,63.1,57,3,91.7
MK012,Residential Core Market 12,Residential Core,18.531022343580226,73.88633555471411,83,55.6,63.2,63.6,62.8,28.3,49.5,165,0,70.7
MK013,Central Bazaar Market 13,Central Bazaar,18.479583345479934,73.81734290266392,178,69.1,23.0,90.2,56.7,48.0,64.0,21,1,97.6
MK014,Riverside Market Market 14,Riverside Market,18.497876412433147,73.89392822727004,54,25.2,50.8,56.3,88.5,64.9,54.3,169,1,61.2
MK015,Old Town Market 15,Old Town,18.502480688296586,73.8526693752366,104,89.9,86.9,28.9,54.3,30.1,70.8,4,0,80.2
MK016,Station Road Market 16,Station Road,18.527239353714425,73.89223769903012,103,27.4,88.6,36.0,8.3,63.6,45.8,65,4,88.9
MK017,Industrial Edge Market 17,Industrial Edge,18.478056667138727,73.91434792740837,170,62.8,30.5,91.0,19.7,25.4,51.1,61,5,93.7
MK018,Residential Core Market 18,Residential Core,18.529832962334833,73.90689509890542,238,95.7,53.7,42.6,73.7,71.6,46.0,186,0,85.3
MK019,Central Bazaar Market 19,Central Bazaar,18.471495261910743,73.91241757806405,230,28.7,81.1,30.0,21.0,67.0,87.6,50,0,60.0
MK020,Riverside Market Market 20,Riverside Market,18.53328858058894,73.91661917112731,87,61.6,20.7,19.1,25.4,31.9,71.2,203,0,71.4
MK021,Old Town Market 21,Old Town,18.523311492277145,73.86973399310651,129,88.0,71.0,75.6,16.7,31.3,92.0,41,0,59.5
MK022,Station Road Market 22,Station Road,18.498630085442183,73.87954370553163,125,101.1,33.2,90.1,7.2,63.6,67.6,176,0,50.1
MK023,Industrial Edge Market 23,Industrial Edge,18.490293718317957,73.91594782945718,81,99.2,78.8,54.5,74.8,23.3,24.1,125,1,88.2
MK024,Residential Core Market 24,Residential Core,18.467916889035973,73.86369235087189,207,70.7,84.4,65.0,41.7,50.1,50.3,23,3,92.3
